TMSim_D,TMSim_H,,FSCA_Year,FSCA_D,FSCA_H,,Uconn_D,U-Conn_H,BCI_D,BCI_H,WES_D,WES_H,UF_D,UF_H
1666,4.598,,9.139726027,3336,4.264059203,,,,,,,,,
1667,4.597,,9.145205479,3338,4.263835322,,,,,,,,,
1668,4.597,,9.150684932,3340,4.263611782,,,,,,,,,
1669,4.596,,9.156164384,3342,4.263388584,,,,,,,,,
1670,4.596,,9.161643836,3344,4.263165726,,,,,,,,,
1671,4.596,,9.167123288,3346,4.262943208,,,,,,,,,
1672,4.595,,9.17260274,3348,4.262721029,,,,,,,,,
1673,4.595,,9.178082192,3350,4.26249919,,,,,,,,,
1674,4.594,,9.183561644,3352,4.262277688,,,,,,,,,
1675,4.594,,9.189041096,3354,4.262056525,,,,,,,,,
1676,4.593,,9.194520548,3356,4.261835698,,,,,,,,,
1677,4.593,,9.2,3358,4.261615208,,,,,,,,,
1678,4.592,,9.205479452,3360,4.261395054,,,,,,,,,
1679,4.592,,9.210958904,3362,4.261175235,,,,,,,,,
1680,4.591,,9.216438356,3364,4.260955751,,,,,,,,,
1681,4.591,,9.221917808,3366,4.260736601,,,,,,,,,
1682,4.59,,9.22739726,3368,4.260517785,,,,,,,,,
1683,4.59,,9.232876712,3370,4.260299302,,,,,,,,,
1684,4.589,,9.238356164,3372,4.260081152,,,,,,,,,
1685,4.589,,9.243835616,3374,4.259863333,,,,,,,,,
1686,4.588,,9.249315068,3376,4.259645846,,,,,,,,,
1687,4.588,,9.254794521,3378,4.25942869,,,,,,,,,
1688,4.587,,9.260273973,3380,4.259211864,,,,,,,,,
1689,4.587,,9.265753425,3382,4.258995367,,,,,,,,,
1690,4.587,,9.271232877,3384,4.2587792,,,,,,,,,
1691,4.586,,9.276712329,3386,4.258563361,,,,,,,,,
1692,4.586,,9.282191781,3388,4.258347851,,,,,,,,,
1693,4.585,,9.287671233,3390,4.258132668,,,,,,,,,
1694,4.585,,9.293150685,3392,4.257917811,,,,,,,,,
1695,4.584,,9.298630137,3394,4.257703281,,,,,,,,,
1696,4.584,,9.304109589,3396,4.257489077,,,,,,,,,
1697,4.583,,9.309589041,3398,4.257275199,,,,,,,,,
1698,4.583,,9.315068493,3400,4.257061644,,,,,,,,,
1699,4.582,,9.320547945,3402,4.256848414,,,,,,,,,
1700,4.582,,9.326027397,3404,4.256635508,,,,,,,,,
1701,4.581,,9.331506849,3406,4.256422925,,,,,,,,,
1702,4.581,,9.336986301,3408,4.256210664,,,,,,,,,
1703,4.58,,9.342465753,3410,4.255998725,,,,,,,,,
1704,4.58,,9.347945205,3412,4.255787107,,,,,,,,,
1705,4.58,,9.353424658,3414,4.255575811,,,,,,,,,
1706,4.579,,9.35890411,3416,4.255364834,,,,,,,,,
1707,4.579,,9.364383562,3418,4.255154178,,,,,,,,,
1708,4.578,,9.369863014,3420,4.254943841,,,,,,,,,
1709,4.578,,9.375342466,3422,4.254733822,,,,,,,,,
1710,4.577,,9.380821918,3424,4.254524121,,,,,,,,,
1711,4.577,,9.38630137,3426,4.254314739,,,,,,,,,
1712,4.576,,9.391780822,3428,4.254105673,,,,,,,,,
1713,4.576,,9.397260274,3430,4.253896924,,,,,,,,,
1714,4.575,,9.402739726,3432,4.253688491,,,,,,,,,
1715,4.575,,9.408219178,3434,4.253480373,,,,,,,,,
1716,4.574,,9.41369863,3436,4.25327257,,,,,,,,,
1717,4.574,,9.419178082,3438,4.253065082,,,,,,,,,
1718,4.574,,9.424657534,3440,4.252857907,,,,,,,,,
1719,4.573,,9.430136986,3442,4.252651046,,,,,,,,,
1720,4.573,,9.435616438,3444,4.252444498,,,,,,,,,
1721,4.572,,9.44109589,3446,4.252238262,,,,,,,,,
1722,4.572,,9.446575342,3448,4.252032338,,,,,,,,,
1723,4.571,,9.452054795,3450,4.251826725,,,,,,,,,
1724,4.571,,9.457534247,3452,4.251621423,,,,,,,,,
1725,4.57,,9.463013699,3454,4.251416431,,,,,,,,,
1726,4.57,,9.468493151,3456,4.251211749,,,,,,,,,
1727,4.57,,9.473972603,3458,4.251007376,,,,,,,,,
1728,4.569,,9.479452055,3460,4.250803312,,,,,,,,,
1729,4.569,,9.484931507,3462,4.250599556,,,,,,,,,
1730,4.568,,9.490410959,3464,4.250396107,,,,,,,,,
1731,4.568,,9.495890411,3466,4.250192966,,,,,,,,,
1732,4.567,,9.501369863,3468,4.249990131,,,,,,,,,
1733,4.567,,9.506849315,3470,4.249787602,,,,,,,,,
1734,4.566,,9.512328767,3472,4.249585379,,,,,,,,,
1735,4.566,,9.517808219,3474,4.249383461,,,,,,,,,
1736,4.565,,9.523287671,3476,4.249181847,,,,,,,,,
1737,4.565,,9.528767123,3478,4.248980538,,,,,,,,,
1738,4.565,,9.534246575,3480,4.248779532,,,,,,,,,
1739,4.564,,9.539726027,3482,4.248578829,,,,,,,,,
1740,4.564,,9.545205479,3484,4.248378428,,,,,,,,,
1741,4.563,,9.550684932,3486,4.24817833,,,,,,,,,
1742,4.563,,9.556164384,3488,4.247978533,,,,,,,,,
1743,4.562,,9.561643836,3490,4.247779037,,,,,,,,,
1744,4.562,,9.567123288,3492,4.247579842,,,,,,,,,
1745,4.561,,9.57260274,3494,4.247380946,,,,,,,,,
1746,4.561,,9.578082192,3496,4.24718235,,,,,,,,,
1747,4.561,,9.583561644,3498,4.246984053,,,,,,,,,
1748,4.56,,9.589041096,3500,4.246786055,,,,,,,,,
1749,4.56,,9.594520548,3502,4.246588354,,,,,,,,,
1750,4.559,,9.6,3504,4.246390951,,,,,,,,,
1751,4.559,,9.605479452,3506,4.246193846,,,,,,,,,
1752,4.558,,9.610958904,3508,4.245997036,,,,,,,,,
1753,4.558,,9.616438356,3510,4.245800523,,,,,,,,,
1754,4.557,,9.621917808,3512,4.245604305,,,,,,,,,
1755,4.557,,9.62739726,3514,4.245408382,,,,,,,,,
1756,4.557,,9.632876712,3516,4.245212754,,,,,,,,,
1757,4.556,,9.638356164,3518,4.24501742,,,,,,,,,
1758,4.556,,9.643835616,3520,4.244822379,,,,,,,,,
1759,4.555,,9.649315068,3522,4.244627632,,,,,,,,,
1760,4.555,,9.654794521,3524,4.244433177,,,,,,,,,
1761,4.554,,9.660273973,3526,4.244239014,,,,,,,,,
1762,4.554,,9.665753425,3528,4.244045143,,,,,,,,,
1763,4.554,,9.671232877,3530,4.243851563,,,,,,,,,
1764,4.553,,9.676712329,3532,4.243658274,,,,,,,,,
1765,4.553,,9.682191781,3534,4.243465275,,,,,,,,,
1766,4.552,,9.687671233,3536,4.243272565,,,,,,,,,
1767,4.552,,9.693150685,3538,4.243080145,,,,,,,,,
1768,4.551,,9.698630137,3540,4.242888014,,,,,,,,,
1769,4.551,,9.704109589,3542,4.242696171,,,,,,,,,
1770,4.551,,9.709589041,3544,4.242504615,,,,,,,,,
1771,4.55,,9.715068493,3546,4.242313347,,,,,,,,,
1772,4.55,,9.720547945,3548,4.242122366,,,,,,,,,
1773,4.549,,9.726027397,3550,4.241931671,,,,,,,,,
1774,4.549,,9.731506849,3552,4.241741263,,,,,,,,,
1775,4.548,,9.736986301,3554,4.241551139,,,,,,,,,
1776,4.548,,9.742465753,3556,4.241361301,,,,,,,,,
1777,4.548,,9.747945205,3558,4.241171746,,,,,,,,,
1778,4.547,,9.753424658,3560,4.240982476,,,,,,,,,
1779,4.547,,9.75890411,3562,4.24079349,,,,,,,,,
1780,4.546,,9.764383562,3564,4.240604787,,,,,,,,,
1781,4.546,,9.769863014,3566,4.240416366,,,,,,,,,
1782,4.545,,9.775342466,3568,4.240228227,,,,,,,,,
1783,4.545,,9.780821918,3570,4.24004037,,,,,,,,,
1784,4.545,,9.78630137,3572,4.239852794,,,,,,,,,
1785,4.544,,9.791780822,3574,4.239665499,,,,,,,,,
1786,4.544,,9.797260274,3576,4.239478485,,,,,,,,,
1787,4.543,,9.802739726,3578,4.23929175,,,,,,,,,
1788,4.543,,9.808219178,3580,4.239105294,,,,,,,,,
1789,4.542,,9.81369863,3582,4.238919118,,,,,,,,,
1790,4.542,,9.819178082,3584,4.23873322,,,,,,,,,
1791,4.542,,9.824657534,3586,4.2385476,,,,,,,,,
1792,4.541,,9.830136986,3588,4.238362257,,,,,,,,,
1793,4.541,,9.835616438,3590,4.238177192,,,,,,,,,
1794,4.54,,9.84109589,3592,4.237992403,,,,,,,,,
1795,4.54,,9.846575342,3594,4.23780789,,,,,,,,,
1796,4.539,,9.852054795,3596,4.237623653,,,,,,,,,
1797,4.539,,9.857534247,3598,4.237439692,,,,,,,,,
1798,4.539,,9.863013699,3600,4.237256005,,,,,,,,,
1799,4.538,,9.868493151,3602,4.237072592,,,,,,,,,
1800,4.538,,9.873972603,3604,4.236889454,,,,,,,,,
1801,4.537,,9.879452055,3606,4.236706589,,,,,,,,,
1802,4.537,,9.884931507,3608,4.236523997,,,,,,,,,
1803,4.537,,9.890410959,3610,4.236341677,,,,,,,,,
1804,4.536,,9.895890411,3612,4.23615963,,,,,,,,,
1805,4.536,,9.901369863,3614,4.235977855,,,,,,,,,
1806,4.535,,9.906849315,3616,4.23579635,,,,,,,,,
1807,4.535,,9.912328767,3618,4.235615117,,,,,,,,,
1808,4.534,,9.917808219,3620,4.235434153,,,,,,,,,
1809,4.534,,9.923287671,3622,4.23525346,,,,,,,,,
1810,4.534,,9.928767123,3624,4.235073036,,,,,,,,,
1811,4.533,,9.934246575,3626,4.234892882,,,,,,,,,
1812,4.533,,9.939726027,3628,4.234712995,,,,,,,,,
1813,4.532,,9.945205479,3630,4.234533377,,,,,,,,,
1814,4.532,,9.950684932,3632,4.234354027,,,,,,,,,
1815,4.532,,9.956164384,3634,4.234174944,,,,,,,,,
1816,4.531,,9.961643836,3636,4.233996128,,,,,,,,,
1817,4.531,,9.967123288,3638,4.233817578,,,,,,,,,
1818,4.53,,9.97260274,3640,4.233639295,,,,,,,,,
1819,4.53,,9.978082192,3642,4.233461276,,,,,,,,,
1820,4.53,,9.983561644,3644,4.233283523,,,,,,,,,
1821,4.529,,9.989041096,3646,4.233106035,,,,,,,,,
1822,4.529,,9.994520548,3648,4.232928811,,,,,,,,,
1823,4.528,,10,3650,4.232751851,,,,,,,,,
1824,4.528,,10.00547945,3652,4.232575154,,,,,,,,,
1825,4.527,,10.0109589,3654,4.23239872,,,,,,,,,
1826,4.527,,10.01643836,3656,4.232222549,,,,,,,,,
1827,4.527,,10.02191781,3658,4.232046639,,,,,,,,,
1828,4.526,,10.02739726,3660,4.231870992,,,,,,,,,
1829,4.526,,10.03287671,3662,4.231695606,,,,,,,,,
1830,4.525,,10.03835616,3664,4.23152048,,,,,,,,,
1831,4.525,,10.04383562,3666,4.231345615,,,,,,,,,
1832,4.525,,10.04931507,3668,4.23117101,,,,,,,,,
1833,4.524,,10.05479452,3670,4.230996665,,,,,,,,,
1834,4.524,,10.06027397,3672,4.230822578,,,,,,,,,
1835,4.523,,10.06575343,3674,4.230648751,,,,,,,,,
1836,4.523,,10.07123288,3676,4.230475182,,,,,,,,,
1837,4.523,,10.07671233,3678,4.23030187,,,,,,,,,
1838,4.522,,10.08219178,3680,4.230128816,,,,,,,,,
1839,4.522,,10.08767123,3682,4.22995602,,,,,,,,,
1840,4.521,,10.09315069,3684,4.22978348,,,,,,,,,
1841,4.521,,10.09863014,3686,4.229611196,,,,,,,,,
1842,4.521,,10.10410959,3688,4.229439168,,,,,,,,,
1843,4.52,,10.10958904,3690,4.229267395,,,,,,,,,
1844,4.52,,10.11506849,3692,4.229095877,,,,,,,,,
1845,4.519,,10.12054795,3694,4.228924614,,,,,,,,,
1846,4.519,,10.1260274,3696,4.228753605,,,,,,,,,
1847,4.519,,10.13150685,3698,4.22858285,,,,,,,,,
1848,4.518,,10.1369863,3700,4.228412348,,,,,,,,,
1849,4.518,,10.14246575,3702,4.228242099,,,,,,,,,
1850,4.517,,10.14794521,3704,4.228072103,,,,,,,,,
1851,4.517,,10.15342466,3706,4.227902359,,,,,,,,,
1852,4.517,,10.15890411,3708,4.227732866,,,,,,,,,
1853,4.516,,10.16438356,3710,4.227563625,,,,,,,,,
1854,4.516,,10.16986301,3712,4.227394635,,,,,,,,,
1855,4.515,,10.17534247,3714,4.227225895,,,,,,,,,
1856,4.515,,10.18082192,3716,4.227057405,,,,,,,,,
1857,4.515,,10.18630137,3718,4.226889165,,,,,,,,,
1858,4.514,,10.19178082,3720,4.226721175,,,,,,,,,
1859,4.514,,10.19726027,3722,4.226553433,,,,,,,,,
1860,4.513,,10.20273973,3724,4.22638594,,,,,,,,,
1861,4.513,,10.20821918,3726,4.226218695,,,,,,,,,
1862,4.513,,10.21369863,3728,4.226051697,,,,,,,,,
1863,4.512,,10.21917808,3730,4.225884947,,,,,,,,,
1864,4.512,,10.22465753,3732,4.225718444,,,,,,,,,
1865,4.511,,10.23013699,3734,4.225552187,,,,,,,,,
1866,4.511,,10.23561644,3736,4.225386176,,,,,,,,,
1867,4.511,,10.24109589,3738,4.225220411,,,,,,,,,
1868,4.51,,10.24657534,3740,4.225054892,,,,,,,,,
1869,4.51,,10.2520548,3742,4.224889617,,,,,,,,,
1870,4.51,,10.25753425,3744,4.224724587,,,,,,,,,
1871,4.509,,10.2630137,3746,4.224559801,,,,,,,,,
1872,4.509,,10.26849315,3748,4.224395258,,,,,,,,,
1873,4.508,,10.2739726,3750,4.224230959,,,,,,,,,
1874,4.508,,10.27945206,3752,4.224066903,,,,,,,,,
1875,4.508,,10.28493151,3754,4.22390309,,,,,,,,,
1876,4.507,,10.29041096,3756,4.223739519,,,,,,,,,
1877,4.507,,10.29589041,3758,4.22357619,,,,,,,,,
1878,4.506,,10.30136986,3760,4.223413102,,,,,,,,,
1879,4.506,,10.30684932,3762,4.223250255,,,,,,,,,
1880,4.506,,10.31232877,3764,4.223087648,,,,,,,,,
1881,4.505,,10.31780822,3766,4.222925282,,,,,,,,,
1882,4.505,,10.32328767,3768,4.222763156,,,,,,,,,
1883,4.504,,10.32876712,3770,4.22260127,,,,,,,,,
1884,4.504,,10.33424658,3772,4.222439622,,,,,,,,,
1885,4.504,,10.33972603,3774,4.222278213,,,,,,,,,
1886,4.503,,10.34520548,3776,4.222117043,,,,,,,,,
1887,4.503,,10.35068493,3778,4.22195611,,,,,,,,,
1888,4.503,,10.35616438,3780,4.221795415,,,,,,,,,
1889,4.502,,10.36164384,3782,4.221634958,,,,,,,,,
1890,4.502,,10.36712329,3784,4.221474737,,,,,,,,,
1891,4.501,,10.37260274,3786,4.221314752,,,,,,,,,
1892,4.501,,10.37808219,3788,4.221155004,,,,,,,,,
1893,4.501,,10.38356164,3790,4.220995491,,,,,,,,,
1894,4.5,,10.3890411,3792,4.220836214,,,,,,,,,
1895,4.5,,10.39452055,3794,4.220677171,,,,,,,,,
1896,4.5,,10.4,3796,4.220518364,,,,,,,,,
1897,4.499,,10.40547945,3798,4.22035979,,,,,,,,,
1898,4.499,,10.4109589,3800,4.22020145,,,,,,,,,
1899,4.498,,10.41643836,3802,4.220043344,,,,,,,,,
1900,4.498,,10.42191781,3804,4.219885471,,,,,,,,,
1901,4.498,,10.42739726,3806,4.21972783,,,,,,,,,
1902,4.497,,10.43287671,3808,4.219570422,,,,,,,,,
1903,4.497,,10.43835616,3810,4.219413246,,,,,,,,,
1904,4.496,,10.44383562,3812,4.219256301,,,,,,,,,
1905,4.496,,10.44931507,3814,4.219099588,,,,,,,,,
1906,4.496,,10.45479452,3816,4.218943105,,,,,,,,,
1907,4.495,,10.46027397,3818,4.218786853,,,,,,,,,
1908,4.495,,10.46575343,3820,4.218630831,,,,,,,,,
1909,4.495,,10.47123288,3822,4.218475039,,,,,,,,,
1910,4.494,,10.47671233,3824,4.218319476,,,,,,,,,
1911,4.494,,10.48219178,3826,4.218164143,,,,,,,,,
1912,4.493,,10.48767123,3828,4.218009038,,,,,,,,,
1913,4.493,,10.49315069,3830,4.217854161,,,,,,,,,
1914,4.493,,10.49863014,3832,4.217699512,,,,,,,,,
1915,4.492,,10.50410959,3834,4.217545091,,,,,,,,,
1916,4.492,,10.50958904,3836,4.217390897,,,,,,,,,
1917,4.492,,10.51506849,3838,4.21723693,,,,,,,,,
1918,4.491,,10.52054795,3840,4.21708319,,,,,,,,,
1919,4.491,,10.5260274,3842,4.216929675,,,,,,,,,
1920,4.49,,10.53150685,3844,4.216776387,,,,,,,,,
1921,4.49,,10.5369863,3846,4.216623324,,,,,,,,,
1922,4.49,,10.54246575,3848,4.216470486,,,,,,,,,
1923,4.489,,10.54794521,3850,4.216317872,,,,,,,,,
1924,4.489,,10.55342466,3852,4.216165483,,,,,,,,,
1925,4.489,,10.55890411,3854,4.216013318,,,,,,,,,
1926,4.488,,10.56438356,3856,4.215861377,,,,,,,,,
1927,4.488,,10.56986301,3858,4.215709659,,,,,,,,,
1928,4.488,,10.57534247,3860,4.215558164,,,,,,,,,
1929,4.487,,10.58082192,3862,4.215406892,,,,,,,,,
1930,4.487,,10.58630137,3864,4.215255842,,,,,,,,,
1931,4.486,,10.59178082,3866,4.215105013,,,,,,,,,
1932,4.486,,10.59726027,3868,4.214954407,,,,,,,,,
1933,4.486,,10.60273973,3870,4.214804021,,,,,,,,,
1934,4.485,,10.60821918,3872,4.214653856,,,,,,,,,
1935,4.485,,10.61369863,3874,4.214503912,,,,,,,,,
1936,4.485,,10.61917808,3876,4.214354188,,,,,,,,,
1937,4.484,,10.62465753,3878,4.214204684,,,,,,,,,
1938,4.484,,10.63013699,3880,4.214055399,,,,,,,,,
1939,4.484,,10.63561644,3882,4.213906334,,,,,,,,,
1940,4.483,,10.64109589,3884,4.213757487,,,,,,,,,
1941,4.483,,10.64657534,3886,4.213608859,,,,,,,,,
1942,4.482,,10.6520548,3888,4.213460448,,,,,,,,,
1943,4.482,,10.65753425,3890,4.213312256,,,,,,,,,
1944,4.482,,10.6630137,3892,4.213164281,,,,,,,,,
1945,4.481,,10.66849315,3894,4.213016522,,,,,,,,,
1946,4.481,,10.6739726,3896,4.212868981,,,,,,,,,
1947,4.481,,10.67945206,3898,4.212721656,,,,,,,,,
1948,4.48,,10.68493151,3900,4.212574547,,,,,,,,,
1949,4.48,,10.69041096,3902,4.212427654,,,,,,,,,
1950,4.48,,10.69589041,3904,4.212280976,,,,,,,,,
1951,4.479,,10.70136986,3906,4.212134513,,,,,,,,,
1952,4.479,,10.70684932,3908,4.211988264,,,,,,,,,
1953,4.478,,10.71232877,3910,4.21184223,,,,,,,,,
1954,4.478,,10.71780822,3912,4.211696411,,,,,,,,,
1955,4.478,,10.72328767,3914,4.211550804,,,,,,,,,
1956,4.477,,10.72876712,3916,4.211405411,,,,,,,,,
1957,4.477,,10.73424658,3918,4.211260231,,,,,,,,,
1958,4.477,,10.73972603,3920,4.211115264,,,,,,,,,
1959,4.476,,10.74520548,3922,4.210970509,,,,,,,,,
1960,4.476,,10.75068493,3924,4.210825966,,,,,,,,,
1961,4.476,,10.75616438,3926,4.210681635,,,,,,,,,
1962,4.475,,10.76164384,3928,4.210537515,,,,,,,,,
1963,4.475,,10.76712329,3930,4.210393606,,,,,,,,,
1964,4.474,,10.77260274,3932,4.210249908,,,,,,,,,
1965,4.474,,10.77808219,3934,4.21010642,,,,,,,,,
1966,4.474,,10.78356164,3936,4.209963142,,,,,,,,,
1967,4.473,,10.7890411,3938,4.209820074,,,,,,,,,
1968,4.473,,10.79452055,3940,4.209677215,,,,,,,,,
1969,4.473,,10.8,3942,4.209534565,,,,,,,,,
1970,4.472,,10.80547945,3944,4.209392124,,,,,,,,,
1971,4.472,,10.8109589,3946,4.209249891,,,,,,,,,
1972,4.472,,10.81643836,3948,4.209107867,,,,,,,,,
1973,4.471,,10.82191781,3950,4.20896605,,,,,,,,,
1974,4.471,,10.82739726,3952,4.20882444,,,,,,,,,
1975,4.471,,10.83287671,3954,4.208683038,,,,,,,,,
1976,4.47,,10.83835616,3956,4.208541842,,,,,,,,,
1977,4.47,,10.84383562,3958,4.208400852,,,,,,,,,
1978,4.47,,10.84931507,3960,4.208260069,,,,,,,,,
1979,4.469,,10.85479452,3962,4.208119492,,,,,,,,,
1980,4.469,,10.86027397,3964,4.20797912,,,,,,,,,
1981,4.468,,10.86575343,3966,4.207838953,,,,,,,,,
1982,4.468,,10.87123288,3968,4.207698991,,,,,,,,,
1983,4.468,,10.87671233,3970,4.207559234,,,,,,,,,
1984,4.467,,10.88219178,3972,4.20741968,,,,,,,,,
1985,4.467,,10.88767123,3974,4.207280331,,,,,,,,,
1986,4.467,,10.89315069,3976,4.207141185,,,,,,,,,
1987,4.466,,10.89863014,3978,4.207002242,,,,,,,,,
1988,4.466,,10.90410959,3980,4.206863503,,,,,,,,,
1989,4.466,,10.90958904,3982,4.206724965,,,,,,,,,
1990,4.465,,10.91506849,3984,4.20658663,,,,,,,,,
1991,4.465,,10.92054795,3986,4.206448498,,,,,,,,,
1992,4.465,,10.9260274,3988,4.206310566,,,,,,,,,
1993,4.464,,10.93150685,3990,4.206172836,,,,,,,,,
1994,4.464,,10.9369863,3992,4.206035308,,,,,,,,,
1995,4.464,,10.94246575,3994,4.205897979,,,,,,,,,
1996,4.463,,10.94794521,3996,4.205760852,,,,,,,,,
1997,4.463,,10.95342466,3998,4.205623924,,,,,,,,,
1998,4.463,,10.95890411,4000,4.205487196,,,,,,,,,
1999,4.462,,,,,,,,,,,,,
2000,4.462,,,,,,,,,,,,,
2001,4.462,,,,,,,,,,,,,
2002,4.461,,,,,,,,,,,,,
2003,4.461,,,,,,,,,,,,,
2004,4.46,,,,,,,,,,,,,
2005,4.46,,,,,,,,,,,,,
2006,4.46,,,,,,,,,,,,,
2007,4.459,,,,,,,,,,,,,
2008,4.459,,,,,,,,,,,,,
2009,4.459,,,,,,,,,,,,,
2010,4.458,,,,,,,,,,,,,
2011,4.458,,,,,,,,,,,,,
2012,4.458,,,,,,,,,,,,,
2013,4.457,,,,,,,,,,,,,
2014,4.457,,,,,,,,,,,,,
2015,4.457,,,,,,,,,,,,,
2016,4.456,,,,,,,,,,,,,
2017,4.456,,,,,,,,,,,,,
2018,4.456,,,,,,,,,,,,,
2019,4.455,,,,,,,,,,,,,
2020,4.455,,,,,,,,,,,,,
2021,4.455,,,,,,,,,,,,,
2022,4.454,,,,,,,,,,,,,
2023,4.454,,,,,,,,,,,,,
2024,4.454,,,,,,,,,,,,,
2025,4.453,,,,,,,,,,,,,
2026,4.453,,,,,,,,,,,,,
2027,4.453,,,,,,,,,,,,,
2028,4.452,,,,,,,,,,,,,
2029,4.452,,,,,,,,,,,,,
2030,4.452,,,,,,,,,,,,,
2031,4.451,,,,,,,,,,,,,
2032,4.451,,,,,,,,,,,,,
2033,4.451,,,,,,,,,,,,,
2034,4.45,,,,,,,,,,,,,
2035,4.45,,,,,,,,,,,,,
2036,4.45,,,,,,,,,,,,,
2037,4.449,,,,,,,,,,,,,
2038,4.449,,,,,,,,,,,,,
2039,4.449,,,,,,,,,,,,,
2040,4.448,,,,,,,,,,,,,
2041,4.448,,,,,,,,,,,,,
2042,4.448,,,,,,,,,,,,,
2043,4.447,,,,,,,,,,,,,
2044,4.447,,,,,,,,,,,,,
2045,4.447,,,,,,,,,,,,,
2046,4.446,,,,,,,,,,,,,
2047,4.446,,,,,,,,,,,,,
2048,4.446,,,,,,,,,,,,,
2049,4.445,,,,,,,,,,,,,
2050,4.445,,,,,,,,,,,,,
2051,4.445,,,,,,,,,,,,,
2052,4.444,,,,,,,,,,,,,
2053,4.444,,,,,,,,,,,,,
2054,4.444,,,,,,,,,,,,,
2055,4.443,,,,,,,,,,,,,
2056,4.443,,,,,,,,,,,,,
2057,4.443,,,,,,,,,,,,,
2058,4.442,,,,,,,,,,,,,
2059,4.442,,,,,,,,,,,,,
2060,4.442,,,,,,,,,,,,,
2061,4.441,,,,,,,,,,,,,
2062,4.441,,,,,,,,,,,,,
2063,4.441,,,,,,,,,,,,,
2064,4.44,,,,,,,,,,,,,
2065,4.44,,,,,,,,,,,,,
2066,4.44,,,,,,,,,,,,,
2067,4.439,,,,,,,,,,,,,
2068,4.439,,,,,,,,,,,,,
2069,4.439,,,,,,,,,,,,,
2070,4.439,,,,,,,,,,,,,
2071,4.438,,,,,,,,,,,,,
2072,4.438,,,,,,,,,,,,,
2073,4.438,,,,,,,,,,,,,
2074,4.437,,,,,,,,,,,,,
2075,4.437,,,,,,,,,,,,,
2076,4.437,,,,,,,,,,,,,
2077,4.436,,,,,,,,,,,,,
2078,4.436,,,,,,,,,,,,,
2079,4.436,,,,,,,,,,,,,
2080,4.435,,,,,,,,,,,,,
2081,4.435,,,,,,,,,,,,,
2082,4.435,,,,,,,,,,,,,
2083,4.434,,,,,,,,,,,,,
2084,4.434,,,,,,,,,,,,,
2085,4.434,,,,,,,,,,,,,
2086,4.433,,,,,,,,,,,,,
2087,4.433,,,,,,,,,,,,,
2088,4.433,,,,,,,,,,,,,
2089,4.432,,,,,,,,,,,,,
2090,4.432,,,,,,,,,,,,,
2091,4.432,,,,,,,,,,,,,
2092,4.431,,,,,,,,,,,,,
2093,4.431,,,,,,,,,,,,,
2094,4.431,,,,,,,,,,,,,
2095,4.431,,,,,,,,,,,,,
2096,4.43,,,,,,,,,,,,,
2097,4.43,,,,,,,,,,,,,
2098,4.43,,,,,,,,,,,,,
2099,4.429,,,,,,,,,,,,,
2100,4.429,,,,,,,,,,,,,
2101,4.429,,,,,,,,,,,,,
2102,4.428,,,,,,,,,,,,,
2103,4.428,,,,,,,,,,,,,
2104,4.428,,,,,,,,,,,,,
2105,4.427,,,,,,,,,,,,,
2106,4.427,,,,,,,,,,,,,
2107,4.427,,,,,,,,,,,,,
2108,4.426,,,,,,,,,,,,,
2109,4.426,,,,,,,,,,,,,
2110,4.426,,,,,,,,,,,,,
2111,4.425,,,,,,,,,,,,,
2112,4.425,,,,,,,,,,,,,
2113,4.425,,,,,,,,,,,,,
2114,4.425,,,,,,,,,,,,,
2115,4.424,,,,,,,,,,,,,
2116,4.424,,,,,,,,,,,,,
2117,4.424,,,,,,,,,,,,,
2118,4.423,,,,,,,,,,,,,
2119,4.423,,,,,,,,,,,,,
2120,4.423,,,,,,,,,,,,,
2121,4.422,,,,,,,,,,,,,
2122,4.422,,,,,,,,,,,,,
2123,4.422,,,,,,,,,,,,,
2124,4.421,,,,,,,,,,,,,
2125,4.421,,,,,,,,,,,,,
2126,4.421,,,,,,,,,,,,,
2127,4.421,,,,,,,,,,,,,
2128,4.42,,,,,,,,,,,,,
2129,4.42,,,,,,,,,,,,,
2130,4.42,,,,,,,,,,,,,
2131,4.419,,,,,,,,,,,,,
2132,4.419,,,,,,,,,,,,,
2133,4.419,,,,,,,,,,,,,
2134,4.418,,,,,,,,,,,,,
2135,4.418,,,,,,,,,,,,,
2136,4.418,,,,,,,,,,,,,
2137,4.417,,,,,,,,,,,,,
2138,4.417,,,,,,,,,,,,,
2139,4.417,,,,,,,,,,,,,
2140,4.417,,,,,,,,,,,,,
2141,4.416,,,,,,,,,,,,,
2142,4.416,,,,,,,,,,,,,
2143,4.416,,,,,,,,,,,,,
2144,4.415,,,,,,,,,,,,,
2145,4.415,,,,,,,,,,,,,
2146,4.415,,,,,,,,,,,,,
2147,4.414,,,,,,,,,,,,,
2148,4.414,,,,,,,,,,,,,
2149,4.414,,,,,,,,,,,,,
2150,4.414,,,,,,,,,,,,,
2151,4.413,,,,,,,,,,,,,
2152,4.413,,,,,,,,,,,,,
2153,4.413,,,,,,,,,,,,,
2154,4.412,,,,,,,,,,,,,
2155,4.412,,,,,,,,,,,,,
2156,4.412,,,,,,,,,,,,,
2157,4.411,,,,,,,,,,,,,
2158,4.411,,,,,,,,,,,,,
2159,4.411,,,,,,,,,,,,,
2160,4.411,,,,,,,,,,,,,
2161,4.41,,,,,,,,,,,,,
